Date,Monthly Average Mean Temperature (degF)
1950-01,12.32
1950-02,25.64
1950-03,31.48
1950-04,34.48
1950-05,41.44
1950-06,50.1
1950-07,52.85
1950-08,54.24
1950-09,47.48
1950-10,39.84
1950-11,26.55
1950-12,30.34
1951-01,22.6
1951-02,23.84
1951-03,25.15
1951-04,36.17
1951-05,42.95
1951-06,48.52
1951-07,55.06
1951-08,54.08
1951-09,50.45
1951-10,39.79
1951-11,32.58
1951-12,23.18
1952-01,17.13
1952-02,28.98
1952-03,29.32
1952-04,33.88
1952-05,40.08
1952-06,47.92
1952-07,52.26
1952-08,54.11
1952-09,48.18
1952-10,44.23
1952-11,39.02
1952-12,33.02
1953-01,22.66
1953-02,32.93
1953-03,30.61
1953-04,39.33
1953-05,44.79
1953-06,51.08
1953-07,55
1953-08,53.82
1953-09,48.42
1953-10,41.82
1953-11,31.83
1953-12,32.27
1954-01,22.55
1954-02,22.98
1954-03,28.65
1954-04,30.68
1954-05,43.79
1954-06,50.27
1954-07,51.82
1954-08,52.73
1954-09,49.1
1954-10,42.05
1954-11,37.67
1954-12,24.74
1955-01,31.1
1955-02,28.29
1955-03,28.98
1955-04,33.4
1955-05,39.34
1955-06,46.55
1955-07,54.31
1955-08,51.5
1955-09,46.75
1955-10,38
1955-11,25.58
1955-12,20.4
1956-01,24.66
1956-02,23.4
1956-03,26.76
1956-04,36.22
1956-05,41.1
1956-06,46.7
1956-07,53.61
1956-08,52.87
1956-09,46.48
1956-10,36.44
1956-11,35.2
1956-12,25.6
1957-01,23.89
1957-02,26.71
1957-03,33.05
1957-04,37.13
1957-05,44.52
1957-06,51.73
1957-07,54.37
1957-08,56.47
1957-09,52.87
1957-10,43.52
1957-11,38.82
1957-12,27.98
1958-01,32.18
1958-02,30.93
1958-03,33.58
1958-04,40.8
1958-05,44.95
1958-06,52.97
1958-07,55.15
1958-08,53.53
1958-09,47.42
1958-10,39.69
1958-11,32.33
1958-12,30.92
1959-01,23.97
1959-02,28.02
1959-03,29.76
1959-04,37.25
1959-05,44.37
1959-06,53.33
1959-07,52.52
1959-08,52.87
1959-09,48.02
1959-10,40.52
1959-11,35.57
1959-12,32.74
1960-01,26.5
1960-02,33.52
1960-03,30.79
1960-04,38.52
1960-05,46.29
1960-06,51.15
1960-07,53.31
1960-08,52.74
1960-09,48.4
1960-10,42.27
1960-11,33.85
1960-12,34.9
1961-01,31.66
1961-02,30.36
1961-03,31.9
1961-04,37.88
1961-05,45.66
1961-06,50.98
1961-07,53.11
1961-08,52.92
1961-09,48.18
1961-10,39
1961-11,30
1961-12,25.03
1962-01,26.76
1962-02,27.21
1962-03,26.89
1962-04,37.57
1962-05,42.44
1962-06,48.25
1962-07,53.29
1962-08,54.71
1962-09,47.88
1962-10,43.02
1962-11,35.47
1962-12,30.27
1963-01,30.89
1963-02,35.64
1963-03,31.26
1963-04,35.18
1963-05,46
1963-06,48.28
1963-07,54.58
1963-08,54.79
1963-09,52.05
1963-10,43.13
1963-11,29.42
1963-12,32.24
1964-01,29.05
1964-02,32.71
1964-03,27.76
1964-04,36.07
1964-05,41.15
1964-06,52.4
1964-07,52.92
1964-08,53.18
1964-09,47.4
1964-10,40.48
1964-11,29.2
1964-12,15.81
1965-01,22.05
1965-02,21.27
1965-03,32.11
1965-04,35.77
1965-05,39.18
1965-06,44.27
1965-07,50.24
1965-08,49.32
1965-09,47.52
1965-10,39.74
1965-11,26.88
1965-12,21.37
1966-01,13.02
1966-02,24.62
1966-03,24.08
1966-04,33.18
1966-05,38.29
1966-06,48.55
1966-07,51.97
1966-08,49.87
1966-09,46.83
1966-10,35.71
1966-11,24.15
1966-12,25.06
1967-01,18.79
1967-02,24.32
1967-03,22.34
1967-04,33.27
1967-05,42.45
1967-06,50.52
1967-07,52.23
1967-08,52.77
1967-09,47.83
1967-10,40.02
1967-11,32.65
1967-12,24.18
1968-01,18.11
1968-02,29.12
1968-03,31.85
1968-04,32.98
1968-05,42.16
1968-06,48.93
1968-07,53.31
1968-08,52.56
1968-09,45.25
1968-10,35.89
1968-11,32.25
1968-12,19.02
1969-01,6.74
1969-02,21.86
1969-03,29.66
1969-04,36.47
1969-05,43.63
1969-06,49.7
1969-07,51.95
1969-08,48.47
1969-09,48.02
1969-10,41.39
1969-11,32.33
1969-12,34.52
1970-01,24.16
1970-02,33.48
1970-03,34.65
1970-04,35.58
1970-05,42.05
1970-06,49.12
1970-07,53.48
1970-08,52.58
1970-09,47.33
1970-10,39.29
1970-11,29.67
1970-12,19.4
1971-01,15.45
1971-02,24.96
1971-03,23.27
1971-04,32.05
1971-05,37.6
1971-06,47.88
1971-07,52.61
1971-08,53.34
1971-09,44.43
1971-10,38.98
1971-11,30.9
1971-12,22
1972-01,15.6
1972-02,19.64
1972-03,24.9
1972-04,28.77
1972-05,39.95
1972-06,47.98
1972-07,55.92
1972-08,53.66
1972-09,46.67
1972-10,39
1972-11,34.3
1972-12,24.15
1973-01,20.27
1973-02,26.05
1973-03,31.53
1973-04,37.35
1973-05,43.53
1973-06,48.48
1973-07,52.03
1973-08,50.89
1973-09,46.05
1973-10,40.29
1973-11,25.03
1973-12,29.85
1974-01,16.63
1974-02,27.32
1974-03,26.15
1974-04,36.65
1974-05,43.69
1974-06,48.63
1974-07,52.1
1974-08,53.55
1974-09,50
1974-10,42.03
1974-11,35.22
1974-12,31.73
1975-01,23.55
1975-02,24.27
1975-03,26.66
1975-04,34.55
1975-05,42.87
1975-06,47.13
1975-07,53.35
1975-08,51.79
1975-09,49.52
1975-10,39.69
1975-11,27.42
1975-12,24.23
1976-01,27.02
1976-02,23.62
1976-03,30.63
1976-04,36.15
1976-05,41.05
1976-06,49.13
1976-07,54.34
1976-08,53.44
1976-09,47.52
1976-10,40.37
1976-11,40.4
1976-12,33.84
1977-01,36.06
1977-02,37.86
1977-03,33.45
1977-04,38.28
1977-05,43.26
1977-06,51.03
1977-07,55.27
1977-08,55.32
1977-09,48.78
1977-10,42.61
1977-11,27.38
1977-12,18.56
1978-01,25.77
1978-02,34.52
1978-03,34.1
1978-04,39.83
1978-05,44.81
1978-06,49.97
1978-07,53.18
1978-08,54.87
1978-09,48.5
1978-10,43.55
1978-11,31.98
1978-12,29.29
1979-01,23.13
1979-02,16.52
1979-03,34.55
1979-04,37.08
1979-05,44.66
1979-06,49.5
1979-07,55.61
1979-08,54.79
1979-09,50.72
1979-10,45.08
1979-11,38.02
1979-12,27.31
1980-01,24.5
1980-02,35.64
1980-03,35.23
1980-04,41.47
1980-05,45.48
1980-06,51.5
1980-07,55.48
1980-08,53.44
1980-09,50.03
1980-10,45.85
1980-11,38.83
1980-12,24.85
1981-01,40.74
1981-02,34.41
1981-03,39.45
1981-04,37.72
1981-05,50.82
1981-06,52.23
1981-07,56.24
1981-08,55.6
1981-09,49.42
1981-10,44.03
1981-11,35
1981-12,27.4
1982-01,19.94
1982-02,23.91
1982-03,30.05
1982-04,33.42
1982-05,42.18
1982-06,48.92
1982-07,53.02
1982-08,52.15
1982-09,48.98
1982-10,39.98
1982-11,31.93
1982-12,31.94
1983-01,30.47
1983-02,33.07
1983-03,34.95
1983-04,38.78
1983-05,45.61
1983-06,52.85
1983-07,55.02
1983-08,54.15
1983-09,45.18
1983-10,40.31
1983-11,31.58
1983-12,22.16
1984-01,31.03
1984-02,33.17
1984-03,37.76
1984-04,38.63
1984-05,43.61
1984-06,48.52
1984-07,52.5
1984-08,53.98
1984-09,48.62
1984-10,40.69
1984-11,31.58
1984-12,28.05
1985-01,37.55
1985-02,27.61
1985-03,32.45
1985-04,33.97
1985-05,41.45
1985-06,46.55
1985-07,52.39
1985-08,51.4
1985-09,47.22
1985-10,37.47
1985-11,20.57
1985-12,33.65
1986-01,33.95
1986-02,29.02
1986-03,33.52
1986-04,33.78
1986-05,43.58
1986-06,49.2
1986-07,53.95
1986-08,51.85
1986-09,47.6
1986-10,42.97
1986-11,32.25
1986-12,35.61
1987-01,32.03
1987-02,33.68
1987-03,30.27
1987-04,38.77
1987-05,44.95
1987-06,47.93
1987-07,53.63
1987-08,53.94
1987-09,48.17
1987-10,42.68
1987-11,37.07
1987-12,30
1988-01,26.45
1988-02,31.98
1988-03,35.23
1988-04,38.72
1988-05,43.81
1988-06,50.42
1988-07,52.42
1988-08,52.73
1988-09,46.52
1988-10,42.63
1988-11,33.42
1988-12,28.89
1989-01,21.68
1989-02,20.27
1989-03,27.19
1989-04,38.88
1989-05,45.19
1989-06,50.5
1989-07,54.84
1989-08,55.68
1989-09,50.93
1989-10,40.98
1989-11,29.28
1989-12,36.74
1990-01,26.16
1990-02,22.52
1990-03,34.53
1990-04,40.5
1990-05,46.87
1990-06,53.07
1990-07,55.08
1990-08,55.85
1990-09,51.17
1990-10,39.6
1990-11,24.3
1990-12,24.42
1991-01,23.18
1991-02,32.59
1991-03,29.89
1991-04,38.18
1991-05,43.58
1991-06,51.48
1991-07,54.56
1991-08,53.48
1991-09,50.53
1991-10,39.81
1991-11,36.43
1991-12,34.15
1992-01,34.24
1992-02,30.59
1992-03,33.84
1992-04,38.7
1992-05,44.45
1992-06,51.48
1992-07,54.74
1992-08,51.98
1992-09,43.8
1992-10,37.1
1992-11,36.33
1992-12,24.71
1993-01,20.06
1993-02,29.59
1993-03,32.9
1993-04,41.2
1993-05,47.74
1993-06,52.72
1993-07,56.65
1993-08,54.76
1993-09,48.62
1993-10,44.53
1993-11,34.57
1993-12,33.15
1994-01,28.98
1994-02,21.2
1994-03,34.44
1994-04,40.93
1994-05,44.4
1994-06,52.58
1994-07,54.63
1994-08,55.69
1994-09,47.98
1994-10,40.9
1994-11,26.32
1994-12,25.48
1995-01,24.11
1995-02,27.64
1995-03,27.19
1995-04,39.88
1995-05,47.15
1995-06,51.32
1995-07,54.47
1995-08,52.87
1995-09,53.62
1995-10,41.56
1995-11,31.4
1995-12,28.63
1996-01,15.21
1996-02,29.47
1996-03,32.29
1996-04,38.43
1996-05,45.16
1996-06,50.85
1996-07,54.82
1996-08,53.37
1996-09,46.07
1996-10,37.05
1996-11,29.62
1996-12,23.44
1997-01,27.24
1997-02,34.96
1997-03,30.6
1997-04,39.32
1997-05,45.53
1997-06,52.98
1997-07,55.97
1997-08,57.03
1997-09,50.73
1997-10,39.1
1997-11,36.67
1997-12,33.94
1998-01,27.77
1998-02,36.82
1998-03,34.5
1998-04,39.38
1998-05,44.34
1998-06,50.77
1998-07,53.06
1998-08,52.11
1998-09,47.1
1998-10,41.26
1998-11,32.4
1998-12,26.39
1999-01,25.56
1999-02,26.05
1999-03,29.74
1999-04,35.8
1999-05,41.87
1999-06,51
1999-07,53.63
1999-08,54.06
1999-09,47.35
1999-10,40.79
1999-11,32.2
1999-12,30.97
2000-01,25.11
2000-02,31.55
2000-03,33.68
2000-04,37.83
2000-05,43.48
2000-06,50.25
2000-07,53.39
2000-08,52.48
2000-09,47.57
2000-10,41.1
2000-11,36.23
2000-12,32.63
2001-01,36.21
2001-02,28.98
2001-03,32.76
2001-04,37.17
2001-05,41.71
2001-06,51.2
2001-07,53.56
2001-08,54.03
2001-09,48.28
2001-10,39.66
2001-11,31.13
2001-12,28.85
2002-01,31.1
2002-02,28.5
2002-03,25.21
2002-04,30.92
2002-05,44.15
2002-06,50.25
2002-07,52.97
2002-08,53.56
2002-09,48.12
2002-10,44.77
2002-11,40.53
2002-12,31.13
2003-01,31.82
2003-02,34.34
2003-03,31.02
2003-04,39.45
2003-05,43.48
2003-06,50.42
2003-07,54.98
2003-08,52.34
2003-09,48.13
2003-10,42.82
2003-11,30.97
2003-12,31.45
2004-01,23.55
2004-02,35.69
2004-03,33.05
2004-04,39.35
2004-05,46.89
2004-06,53.38
2004-07,56.29
2004-08,56.95
2004-09,47.78
2004-10,41.63
2004-11,35.83
2004-12,31.69
2005-01,27.39
2005-02,30.66
2005-03,36.9
2005-04,41.17
2005-05,48.6
2005-06,52.22
2005-07,56.06
2005-08,55.08
2005-09,49.3
2005-10,40.79
2005-11,32.45
2005-12,34.48
2006-01,28.4
2006-02,29.3
2006-03,27.35
2006-04,36.98
2006-05,44.94
2006-06,51.73
2006-07,54.35
2006-08,53.42
2006-09,48.67
2006-10,42.06
2006-11,22.45
2006-12,34.16
2007-01,28.84
2007-02,24.39
2007-03,25.81
2007-04,36.13
2007-05,43.42
2007-06,50.7
2007-07,54.73
2007-08,54.29
2007-09,48.75
2007-10,40.1
2007-11,35.28
2007-12,27.94
2008-01,24.71
2008-02,28.28
2008-03,32.58
2008-04,36.28
2008-05,43.5
2008-06,48.35
2008-07,52.97
2008-08,53.29
2008-09,49.45
2008-10,39.98
2008-11,34.9
2008-12,24.5
2009-01,28.26
2009-02,24.39
2009-03,27.42
2009-04,35
2009-05,43.24
2009-06,49.75
2009-07,55.79
2009-08,53.58
2009-09,48.27
2009-10,43.05
2009-11,32.93
2009-12,27.84
2010-01,30.5
2010-02,35.86
2010-03,34.13
2010-04,39.12
2010-05,46.24
2010-06,52.28
2010-07,54.97
2010-08,56.45
2010-09,52.38
2010-10,43.5
2010-11,36.2
2010-12,28.44
2011-01,30.16
2011-02,28.57
2011-03,29.73
2011-04,39.23
2011-05,47.37
2011-06,52.8
2011-07,57.06
2011-08,54.4
2011-09,49.85
2011-10,42.81
2011-11,27.22
2011-12,32.58
2012-01,23.85
2012-02,32.91
2012-03,29.5
2012-04,38.03
2012-05,42.02
2012-06,48.62
2012-07,52.06
2012-08,52.52
2012-09,48.48
2012-10,37.02
2012-11,31.02
2012-12,25
2013-01,31.45
2013-02,34.57
2013-03,28.94
2013-04,32.48
2013-05,43.63
2013-06,53.37
2013-07,55.23
2013-08,56.11
2013-09,51.2
2013-10,44.34
2013-11,31.03
2013-12,27.35
2014-01,36.03
2014-02,23.52
2014-03,29.95
2014-04,37.2
2014-05,47.15
2014-06,49.88
2014-07,54.68
2014-08,54.63
2014-09,51.15
2014-10,41.66
2014-11,33.95
2014-12,33.73
2015-01,35.31
2015-02,33.46
2015-03,34.95
2015-04,38.98
2015-05,47.45
2015-06,53.6
2015-07,56.03
2015-08,55.03
2015-09,47.7
2015-10,44.05
2015-11,34.65
2015-12,31.84
2016-01,35.6
2016-02,37.14
2016-03,38.95
2016-04,42.53
2016-05,48.74
2016-06,53.78
2016-07,57.37
2016-08,57.69
2016-09,50.05
2016-10,40.84
2016-11,36.9
2016-12,28.29
2017-01,27.69
2017-02,29.61
2017-03,26.21
2017-04,41.42
2017-05,45.34
2017-06,52
2017-07,56.06
2017-08,55.32
2017-09,51.17
2017-10,42.77
2017-11,30.83
2017-12,31.73
2018-01,32.25
2018-02,27
2018-03,33.16
2018-04,38.87
2018-05,46.19
2018-06,51.83
2018-07,56.97
2018-08,56.58
2018-09,50.55
2018-10,46.55
2018-11,38.63
2018-12,35.18
2019-01,28.31
2019-02,28.7
2019-03,38.53
2019-04,40.58
2019-05,48.39
2019-06,54.54
2019-07,59.56
2019-08,56.97
2019-09,51.5
2019-10,42.26
2019-11,39.68
2019-12,37.93
2020-01,22.29
2020-02,31.72
2020-03,30.63
2020-04,37.72
2020-05,47.84
2020-06,50.77
2020-07,55.98
2020-08,54.65
2020-09,49.45
2020-10,40.6
2020-11,30.53
2020-12,33.98
2021-01,33.07
2021-02,25.86
2021-03,29.53
2021-04,36.77
2021-05,44.06
2021-06,51.15
2021-07,54.47
2021-08,54.5
2021-09,49.37
2021-10,41.06
2021-11,30.43
2021-12,21.9
2022-01,27.21
2022-02,33.04
2022-03,35.52
2022-04,37.13
2022-05,44.24
2022-06,53.87
2022-07,56.05
2022-08,55.9
2022-09,50.63
2022-10,44.79
2022-11,33.28
2022-12,27.05
2023-01,33.89
2023-02,28.19
2023-03,28.55
2023-04,37.75
2023-05,45.58
2023-06,51.25
2023-07,55.71
2023-08,56.39
2023-09,49.67
2023-10,43.15
2023-11,38.28
2023-12,34.55
2024-01,29.84
2024-02,30.64
2024-03,35.03
2024-04,39.18
2024-05,45.89
2024-06,53.6
2024-07,56.4
2024-08,56.16
2024-09,50.7
2024-10,42.68
2024-11,35.73
2024-12,35.95
2025-01,35.34
2025-02,31.77
2025-03,37.92
2025-04,44.3
2025-05,48.4
2025-06,55
2025-07,58.06
2025-08,57.12
2025-09,51.08
2025-10,43.27
2025-11,36.42
2025-12,22.53
